levenshtein	overlappercentage	precision	recall	f1	f05	time

0	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	150
0	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	53
0	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	47
0	60.0	1.0	0.8541666666666666	0.9213483146067416	0.9669811320754718	46
0	80.0	1.0	0.7708333333333334	0.8705882352941177	0.943877551020408	45
0	100.0	1.0	0.5416666666666666	0.7027027027027027	0.8552631578947368	47

1	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	55
1	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	51
1	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
1	60.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
1	80.0	1.0	0.7916666666666666	0.8837209302325582	0.9500000000000001	45
1	100.0	1.0	0.5416666666666666	0.7027027027027027	0.8552631578947368	114

2	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	53
2	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
2	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	45
2	60.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
2	80.0	1.0	0.8125	0.896551724137931	0.9558823529411765	47
2	100.0	1.0	0.5416666666666666	0.7027027027027027	0.8552631578947368	122

3	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	54
3	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	47
3	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	47
3	60.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
3	80.0	1.0	0.8125	0.896551724137931	0.9558823529411765	46
3	100.0	1.0	0.5625	0.72	0.8653846153846154	131

4	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	55
4	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
4	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
4	60.0	1.0	0.875	0.9333333333333333	0.9722222222222222	47
4	80.0	1.0	0.8125	0.896551724137931	0.9558823529411765	45
4	100.0	1.0	0.5625	0.72	0.8653846153846154	130

5	0.0	0.9130434782608695	0.875	0.8936170212765957	0.9051724137931035	53
5	20.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
5	40.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
5	60.0	1.0	0.875	0.9333333333333333	0.9722222222222222	46
5	80.0	1.0	0.8125	0.896551724137931	0.9558823529411765	46
5	100.0	1.0	0.5833333333333334	0.7368421052631579	0.875	118